name,time,team
Sarah Inglis,19:49.9,Trinity Western Spartans
Gabriela Stafford,20:09.7,Toronto Varsity Blues
Stefanie Smith,20:25.4,Windsor Lancers
Emma Cook-Clarke,20:26.5,Calgary Dinos
Julie-Anne Staehli,20:27.5,Queen's Gaels
Katrina Allison,20:28.3,Guelph Gryphons
Lisa Brooking,20:32.4,Trinity Western Spartans
Katelyn Ayers,20:39.1,Guelph Gryphons
Claire Sumner,20:49.8,Queen's Gaels
Regan Yee,20:50.3,Trinity Western Spartans
Mirelle Martens,20:51.5,Trinity Western Spartans
Colleen Wilson,20:57.3,Dalhousie Tigers
Karissa Lepage,21:05.0,Alberta Pandas
Mathilde Sagnes,21:16.3,Montréal Carabins
Sophie Watts,21:18.1,Guelph Gryphons
Melanie Myrand,21:19.5,McGill Martlets
Sarah Wismer,21:19.8,Guelph Gryphons
Melissa Jones,21:21.3,Calgary Dinos
Ariana Dirk,21:21.4,Calgary Dinos
Danielle Jossinet,21:23.3,Guelph Gryphons
Allie Parks,21:24.3,Windsor Lancers
Chloe Hegland,21:27.7,Victoria Vikes
Cheryse Mitton,21:30.6,Guelph Gryphons
Charlotte Dunlap,21:32.0,Queen's Gaels
Sarah Macarthur,21:32.7,Calgary Dinos
Madeleine Kelly,21:34.7,Toronto Varsity Blues
Jullien Flynn,21:35.8,McGill Martlets
Rebekah Sass,21:36.8,Manitoba Bisons
Madeline McDonald,21:37.6,McMaster Marauders
Michelle Reddy,21:43.7,Dalhousie Tigers
Vanessa Trofimenkoff,21:45.1,MacEwan Griffins
Katie Wismer,21:56.3,Laurentian Voyageurs
Shauna McInnis,22:00.9,Victoria Vikes
Katie Phillips,22:01.4,Ottawa Gee-Gees
Emma Bibault,22:03.8,Victoria Vikes
Heather Petrick,22:07.1,Guelph Gryphons
Kristina Popadich,22:10.5,Western Mustangs
Chelsea Mackinnon,22:10.7,McMaster Marauders
Hannah Leggatt,22:13.0,MacEwan Griffins
Emily Clarke,22:13.1,Dalhousie Tigers
Chanelle Gagne,22:15.0,MacEwan Griffins
Morgan Lawley,22:15.1,Alberta Pandas
Kayte Kowal,22:15.3,Dalhousie Tigers
Jeanne Mercier,22:17.6,Laval Rouge et Or
Ruth Burrowes,22:18.3,Ottawa Gee-Gees
Anne-Marie Gauthier,22:20.5,Laval Rouge et Or
Gabrielle Foran,22:21.7,McMaster Marauders
Emily Nowak,22:25.8,McMaster Marauders
Marissa Lobert,22:30.0,Laurentian Voyageurs
Brooke Mentanko,22:30.2,Saskatchewan Huskies
Madeleine Benjamin,22:31.3,McMaster Marauders
Katherine Lampard,22:31.7,Western Mustangs
Michelle Kennedy,22:33.5,Laurentian Voyageurs
Marguerite Plante-Dub�,22:34.4,Laval Rouge et Or
Shannen Murray,22:35.1,Queen's Gaels
Marilou Ferland-Daigle,22:35.3,Laval Rouge et Or
Joanna Williams,22:35.8,Trinity Western Spartans
Karine Beaudet,22:36.1,Laval Rouge et Or
Lindsay Kary,22:37.9,Queen's Gaels
Ainsley Nantes,22:39.5,Western Mustangs
Lianne Girard,22:41.2,Queen's Gaels
Lisanne Gu�rin,22:43.4,Laval Rouge et Or
Rachel Lobay,22:45.8,Thompson Rivers Wolfpack
Caitlin Vail,22:45.9,Alberta Pandas
Michelle Moakler,22:47.3,Western Mustangs
Laurin Thorne,22:47.8,Victoria Vikes
Savanna Boutin,22:49.1,Alberta Pandas
Lauren Locco,22:49.3,McMaster Marauders
Gabrielle Pr�fontaine-Desharna,22:50.1,Sherbrooke Vert & Or
Samantha McGuinness,22:51.0,Waterloo Warriors
Catherine Gagnon,22:51.1,Université du Québec à Montréal Les Citadins
Meggie Dargis,22:52.0,McGill Martlets
Jenna MacDonald,22:52.8,Dalhousie Tigers
Lesley Koopman,22:54.8,Alberta Pandas
Maggie Proulx,22:58.0,Laval Rouge et Or
Hannah Ryan,22:58.5,Trinity Western Spartans
Gabrielle Lebel,23:01.4,Sherbrooke Vert & Or
Sydney Banister,23:03.4,Calgary Dinos
R�becca Beaumont,23:04.0,Montréal Carabins
Jessie Nusselder,23:04.1,Laurentian Voyageurs
Camille Moreaux,23:05.7,Sherbrooke Vert & Or
Honor Walmsley,23:06.3,Toronto Varsity Blues
Jessica White,23:09.7,Western Mustangs
Taylor Sprague,23:10.5,Manitoba Bisons
Maddy Bak,23:11.4,Laurentian Voyageurs
Meg Harradine,23:12.0,Trinity Western Spartans
Jessica Baraskewich,23:12.3,Calgary Dinos
Skye Russell,23:13.6,Alberta Pandas
Adriana Davis,23:14.9,Regina Cougars
Nicole Balzer,23:15.9,Manitoba Bisons
Avery Westberg,23:16.3,Regina Cougars
Samantha Edwards,23:16.8,Laurentian Voyageurs
Chelsea Viselli,23:17.4,Windsor Lancers
Andie Wood,23:19.7,Victoria Vikes
Hana Marmura,23:20.7,St. F X
Christiana Agustin,23:20.9,Toronto Varsity Blues
Soren Meeuwisse,23:21.0,McMaster Marauders
Kathleen Browne,23:21.4,Concordia Stingers
Marianne Leclerc,23:22.9,Montréal Carabins
Emilie Ford,23:25.8,Manitoba Bisons
Erin O'higgins,23:27.4,Queen's Gaels
Erin Snelgrove,23:27.5,Western Mustangs
Jasmine Dezeeuw,23:27.9,St. F X
Erin Strueby,23:30.6,Regina Cougars
Nicole Rich,23:30.8,Laurentian Voyageurs
Shayna Quibell,23:32.0,Calgary Dinos
Martine Parent,23:32.7,Montréal Carabins
Morgan Hawkes,23:33.2,Dalhousie Tigers
Amy Gelhorn,23:33.3,Manitoba Bisons
Eartha Weber,23:36.0,Toronto Varsity Blues
Kendra Macneil,23:36.1,St. F X
Arden Burrows,23:36.5,Toronto Varsity Blues
Emily Ferguson,23:39.0,Dalhousie Tigers
Kamylle Frenette,23:39.1,Moncton Aigles Bleu
Carol-Ann MacDonald,23:44.8,Moncton Aigles Bleu
Hayley Francois,23:46.1,Victoria Vikes
Marie Lebouthillier,23:46.8,Montréal Carabins
Nicole Odiasky,23:50.5,Manitoba Bisons
Stephanie Nevison,23:51.8,Western Mustangs
Mary Cole,23:55.0,Toronto Varsity Blues
Alexandra McGowan,23:59.6,Waterloo Warriors
Eden Frost,24:02.4,Concordia Stingers
Leah Gouthro,24:06.4,St. F X
Kyra Ives,24:07.0,Saskatchewan Huskies
Liz MacDonald,24:07.6,St. F X
Anouk Pelletier,24:10.0,Moncton Aigles Bleu
Nicole Kitt,24:10.7,MacEwan Griffins
Catherine Thompson,24:11.2,St. F X
Marie-Andr�e Marchand,24:12.8,Montréal Carabins
Erin Tramley,24:14.5,Manitoba Bisons
Andrea Robinson,24:20.2,Victoria Vikes
St�phanie Turgeon,24:22.6,Montréal Carabins
Alesha Miller,24:26.4,Thompson Rivers Wolfpack
Victoria Sandre,24:26.9,St. F X
Sydney Hawkins,24:31.0,Windsor Lancers
Alison Robinson,24:48.6,Windsor Lancers
Anneliese Davis,24:53.3,Regina Cougars
Maissa Sabourin,24:56.8,MacEwan Griffins
Tianna Dodds,25:07.5,Regina Cougars
Sophie Dasaro,25:10.8,Concordia Stingers
Tessa Pedersen,25:34.8,MacEwan Griffins
Lauren Fisico,25:36.5,Windsor Lancers
Jenna Green,26:48.4,Concordia Stingers
Devon Ellis-Durity,28:05.3,Concordia Stingers
