name,team,time
Scott Donald,St. F X,26:08.30
Alex Cyr,St. F X,26:10.10
Alex Neuffer,St. F X,26:16.70
Lee Wesselius,ASEA Athlétisme Sud-Est / South-East Athletics,26:28.30
Will Russell,Dalhousie Tigers,26:59.90
Nick Favero,St. F X,27:05.30
Angus Macintosh,Dalhousie Tigers,27:18.00
Jérémie Pellerin,Moncton Aigles Bleu,27:20.90
Callum Drever,Dalhousie Tigers,27:31.00
Trent Lynds,Dalhousie Tigers,27:48.60
Bryan Thomas,Moncton Aigles Bleu,27:50.20
Jake Wing,Dalhousie Tigers,27:52.40
Joshua Shanks,UNB Reds,27:54.00
R Edward MacDonald,St. F X,28:32.50
Grant Handrigan,Unattached,28:37.60
Nassim Bousmaha,Moncton Aigles Bleu,28:38.80
Warren Ferguson,St. F X,28:59.00
Rémi Poitras,Moncton Aigles Bleu,28:59.70
Ryan Terry,St. Thomas Tommies,29:04.80
Michael Rogers,Dalhousie Tigers,29:08.20
Ryan Fuller,St. F X,29:09.20
Matt Eliot,St. F X,29:10.60
Paul Gallant,Unattached,29:25.70
Colin Long,Dalhousie Tigers,29:32.40
Addison Derhak,St. F X,29:51.60
Jonathan Peverill,St. Mary's Huskies,29:57.10
Jeremy Thompson,UPEI Panthers,30:07.20
Ben Tremblay,UNB Reds,30:14.80
Cullen Macinnis,St. F X,30:26.50
Daniel Maguire,Dalhousie Tigers,30:31.30
Chris Lee,St. Mary's Huskies,30:32.60
Jonathan Bunn,UNB Reds,30:37.60
Owen Bishop,Dalhousie Tigers,30:38.10
Nicholas Buckler,Dalhousie Tigers,30:41.30
Brandon Higgenbotham,UPEI Panthers,30:51.80
Blair Miller,Dalhousie Tigers,30:55.10
Alec Freeman,Unattached,30:59.70
Felipe Lamprea,UNB Reds,31:00.00
Ian Vershoot,UNB Reds,31:05.80
Cameron Taylor,St. Mary's Huskies,31:19.90
Daniel Saucier,Moncton Aigles Bleu,31:29.40
Raphaël Choquette,Moncton Aigles Bleu,31:48.70
Vincent Leclair,Moncton Aigles Bleu,32:14.00
Connor Ryan,St. Thomas Tommies,32:36.50
Jesse Fuller,Unattached,32:43.20
Joe Raymond,YHZ Athletics,33:11.60
Alex Macfadyen,UPEI Panthers,33:39.30
Arthson Mukeya,Unattached,34:11.30
Andrew Herold,St. Mary's Huskies,34:41.70
Stephen Seviour,UPEI Panthers,35:41.20
François Pelletier,Moncton Aigles Bleu,36:55.20
Ryan Smallwood,Moncton Aigles Bleu,36:57.30
Jean-Chris Comeau,Moncton Aigles Bleu,38:10.30
Lucas Clow,UPEI Panthers,39:30.00
Samuel Leblanc,Moncton Aigles Bleu,41:15.60
Eric Hervet,Unattached,43:38.50
Clint Steeves,ASEA Athlétisme Sud-Est / South-East Athletics,45:47.60
Alexandre Nazair,Moncton Aigles Bleu,52:19.70